x,y,z,slope
7,4,1,0.0895492
7,5,0,0.0877671
7,5,1,0.0899219
7,6,0,0.0864045
7,6,1,0.0882856
7,7,0,0.0894976
7,7,1,0.0888087
7,8,0,0.0869049
7,8,1,0.0895492
7,9,0,0.0864526
7,9,1,0.0895492
7,10,0,0.0869049
7,10,1,0.0893372
7,11,0,0.0868035
7,11,1,0.0911831
7,12,0,0.0872573
7,12,1,0.0906313
7,13,0,0.0859568
7,13,1,0.0888087
7,14,0,0.0869045
7,14,1,0.0897636
7,15,0,0.0866524
7,15,1,0.0893372
8,0,0,0.0896579
8,0,1,0.0904129
8,1,0,0.0888087
8,1,1,0.087922
8,2,0,0.0894976
8,2,1,0.0916835
8,3,0,0.0877671
8,3,1,0.0904142
8,4,0,0.0895492
8,4,1,0.0877183
8,5,0,0.0884402
8,5,1,0.0885975
8,6,0,0.0880777
8,6,1,0.0868035
8,7,0,0.0891759
8,7,1,0.0895492
8,8,0,0.0884402
8,8,1,0.0900346
8,9,0,0.0879745
8,9,1,0.089925
8,10,0,0.0896579
8,10,1,0.0915174
8,11,0,0.0884402
8,11,1,0.0909602
8,12,0,0.0885975
8,12,1,0.0873596
8,13,0,0.088805
8,13,1,0.0899258
8,14,0,0.0882832
8,14,1,0.0905227
8,15,0,0.090197
8,15,1,0.0893372
